URL,Price,Address,Date,Contact,Bedrooms,Bathrooms,SqFt,Availability
https://www.forrent.com/ca/stevenson-ranch/imt-stevenson-ranch/ss2pjf6,N/A,N/A,2025-12-04T15:26:56.953Z,(661) 481-7846,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/mill-valley/8-dell-st/24tdkf9,"$3,000","8 Dell St, Mill Valley, CA 94941",2025-11-06T23:14:46.170Z,(628) 257-9168,1 Bed,1 Bath,600 sq. ft.,Available Now
https://www.forrent.com/ca/west-hollywood/1230-horn-ave/xk35ldp,"$2,700","1230 Horn Ave, West Hollywood, CA 90069",2025-12-04T03:41:23.207Z,(424) 317-9203,2 Beds,1 Bath,850 sq. ft.,Available Dec 15
https://www.forrent.com/ca/santa-clarita/18123-erik-ct/11f7wf5,"$3,300","18123 Erik Ct, Santa Clarita, CA 91387",2025-12-04T20:06:14.433Z,(213) 877-5077,3 Beds,2 Baths,"1,008 sq. ft.",Available Now
https://www.forrent.com/ca/chula-vista/del-oro-on-broadway/37qc6ld,N/A,N/A,2025-12-02T17:27:56.857Z,(619) 675-7689,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/solana-beach/cedros-gardens/n4v8s6n,N/A,N/A,2025-12-04T17:22:02.660Z,(858) 295-7028,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/santa-monica/425-idaho-ave/bdyz4z9,"$3,250","425 Idaho Ave, Santa Monica, CA 90403",2025-12-04T03:41:24.053Z,(424) 238-6222,1 Bed,1 Bath,680 sq. ft.,Available Now
https://www.forrent.com/ca/redwood-city/1355-el-camino-real/1w5j635,"$3,710","1355 El Camino Real, Redwood City, CA 94063",2025-12-03T20:40:45.803Z,(650) 399-4090,1 Bed,1 Bath,710 sq. ft.,Available Dec 8
https://www.forrent.com/ca/los-angeles/1241-4th-ave/wjg770j,"$3,100","1241 4th Ave, Los Angeles, CA 90019",2025-12-04T16:26:02.493Z,(747) 271-0338,2 Beds,1 Bath,"1,230 sq. ft.",Available Now
https://www.forrent.com/ca/los-angeles/747-gayley-ave/h3z9zc2,"$3,580","747 Gayley Ave, Los Angeles, CA 90024",2025-12-04T17:21:00.493Z,(424) 532-8904,2 Beds,1.5 Baths,950 sq. ft.,Available Dec 9
https://www.forrent.com/ca/fresno/ascent-townhome-apartments/vwwxldf,N/A,N/A,2025-12-04T15:31:14.443Z,(559) 206-1935,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/los-angeles/1428-e-54th-st/lbx78je,"$3,400","1428 E 54th St, Los Angeles, CA 90011",2025-12-03T17:01:50.363Z,(626) 593-6196,3 Beds,1 Bath,850 sq. ft.,Available Now
https://www.forrent.com/ca/san-diego/4470-swift-ave/w10z7rj,"$2,100","4470 Swift Ave, San Diego, CA 92116",2025-12-03T03:49:02.543Z,(619) 810-5311,1 Bed,1 Bath,500 sq. ft.,Available Now
https://www.forrent.com/ca/davis/parkside-apartments/1sf7216,N/A,N/A,2025-12-04T04:01:47.890Z,(530) 665-8670,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/mill-valley/370-richardson-way/7sgd2fz,"$2,900","370 Richardson Way, Mill Valley, CA 94941",2025-12-04T21:41:10.463Z,(415) 602-7836,1 Bed,1 Bath,600 sq. ft.,Available Now
https://www.forrent.com/ca/los-angeles/1527-veteran-ave/7j3f2sz,N/A,N/A,2025-12-03T14:20:32.270Z,(424) 407-1485,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/los-angeles/the-wilder/3kybsbf,N/A,N/A,2025-12-04T16:09:17.487Z,(424) 312-0327,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/dana-point/33772-violet-lantern-st/e6pbn8n,"$3,950","33772 Violet Lantern St, Dana Point, CA 92629",2025-12-04T20:38:09.533Z,(949) 418-4883,2 Beds,2 Baths,"1,200 sq. ft.",Available Now
https://www.forrent.com/ca/los-angeles/916-s-orange-grove-ave/h4y6sz3,"$3,600","916 S Orange Grove Ave, Los Angeles, CA 90036",2025-12-04T03:41:23.317Z,(424) 322-6261,2 Beds,1 Bath,"1,200 sq. ft.",Available Now
https://www.forrent.com/ca/encinitas/seaside-commons/j5zzgy6,N/A,N/A,2025-12-03T19:27:10.683Z,(442) 217-4767,N/A,N/A,N/A,N/A
https://www.forrent.com/ca/los-angeles/701-s-hudson-ave/3vsvdqg,"$2,600","701 S Hudson Ave, Los Angeles, CA 90005",2025-12-04T17:21:02.240Z,(855) 496-0923,Studio,1 Bath,522 sq. ft.,Available Dec 6
